name|productUrl|imageUrl|description|price|currency|TDProductId|TDCategoryID|TDCategoryName|merchantCategoryName|sku|shortDescription|promoText|previousPrice|warranty|availability|inStock|shippingCost|deliveryTime|weight|size|brand|model|ean|upc|isbn|condition|mpn|techSpecs|manufacturer|programName|programLogoPath|programId|advertiserProductUrl|fields
"Monster Kids' Baseball Cap, Roze, Maat Volw. | PUMA"|"http://pdt.tradedoubler.com/click?a(2854292)p(284496)prod(3196420259)ttid(5)url(https%3A%2F%2Feu.puma.com%2Fnl%2Fen%2Fpd%2Fmonster-kids-baseball-cap%2F022504.html%3Fdwvar_022504_color%3D02%26dwvar_022504_size%3D0120)"|"https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/022504/02/fnd/EEA"|"Deze opvallende pet met vijf panelen is voor de kinderen die niet bang zijn voor monsters en zorgt ervoor dat ze zich net zo cool voelen als ze eruit zien. Baseballpet met vijf panelen en semi-gestructureerde gebogen klep Klittenbandsluiting aan de achterkant Monster-print op de voorkant en op de klep Etiket voor de naam van het kind aan de binnenkant Geweven PUMA-label aan de achterkant PUMA Cat-logo geborduurd op de achterkant 100% Polyester. Bezoek onze webpagina om meer to ontdekken over onze PUMA Monster Kids' Baseball Cap roze, maat Volw."|"15.00"|"EUR"|"3196420259"|"68"|"Mode"|"Kleding en accessoires > Kledingaccessoires > Hoeden"|""|""|""|""|""|"out of stock"|""|"NL4.95 EUR"|"1 - 2 working days"|""|"Volw."|"PUMA"|""|""|""|""|"new"|"022504_02_Volw-"|""|""|"PUMA "|"http://hst.tradedoubler.com/file/190137/new_logo/Puma-200x70.jpg"|"284496"|"https://eu.puma.com/nl/en/pd/monster-kids-baseball-cap/022504.html?dwvar_022504_color=02&dwvar_022504_size=0120"|"additional_image:https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/022504/02/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/022504/02/bv/fnd/EEA;color:Roze;from_price:15.00;gender:unisex;gtin:4060981736417;item_group_id:022504;material:polyester;product_type:Kids > Accessories > Hats,Kinderen > Accessoires > Petten;shipping_condition:Less than ?25"
"Trailblazer Cap, Zwart, Maat Volw. | PUMA"|"http://pdt.tradedoubler.com/click?a(2854292)p(284496)prod(3207637659)ttid(5)url(https%3A%2F%2Feu.puma.com%2Fnl%2Fen%2Fpd%2Fwomens-trailblazer-cap%2F021974.html%3Fdwvar_021974_color%3D01%26dwvar_021974_size%3D0120)"|"https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/021974/01/fnd/EEA"|"Gedurfd, stoer en leuk is de TZ pet voor dames waarin klassieke vorm is gecombineerd met kleuraccenten en een bies die opvallen voor een dynamische look. Het model met zes panelen past perfect bij het semi-gestructureerde geweven materiaal en de gebogen klep, waarmee hij eenvoudig en stijlvol te dragen is. Het opvallende PUMA Worldwide-logo rechtsvoor versterkt de afgewerkte look van deze tijdloze pet. Klassiek baseballpetmodel Zes panelen Buckram met enige textuur Gebogen visor Semi-transparante, extra brede versteller met spikkels en een klittenbandsluiting die veilig is voor je haar Zweetband van vochtafvoerende mesh Geborduurd satijnen PUMA Worldwide-logo rechts op de voorzijde Geborduurd vlak PUMA Cat-logo op de achterkant. Bezoek onze webpagina om meer to ontdekken over onze PUMA Trailblazer Cap zwart, maat Volw."|"12.50"|"EUR"|"3207637659"|"68"|"Mode"|"Kleding en accessoires > Kledingaccessoires > Hoeden"|""|""|""|""|""|"in stock"|""|"NL4.95 EUR"|"1 - 2 working days"|""|"Volw."|"PUMA"|""|""|""|""|"new"|"021974_01_Volw-"|""|""|"PUMA "|"http://hst.tradedoubler.com/file/190137/new_logo/Puma-200x70.jpg"|"284496"|"https://eu.puma.com/nl/en/pd/womens-trailblazer-cap/021974.html?dwvar_021974_color=01&dwvar_021974_size=0120"|"additional_image:https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/021974/01/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/021974/01/bv/fnd/EEA;color:Zwart;from_price:18.00;gender:unisex;gtin:4060978183293;item_group_id:021974;material:satijn/zijde;product_type:Unisex > Accessories > Hats;shipping_condition:Less than ?25"
"Basket Classic LFS Shoes, Zwart/Goud, Maat 53.5 | PUMA"|"http://pdt.tradedoubler.com/click?a(2854292)p(284496)prod(3085581423)ttid(5)url(https%3A%2F%2Feu.puma.com%2Fnl%2Fen%2Fpd%2Fbasket-classic-lfs-mens-shoes%2F354367.html%3Fdwvar_354367_color%3D19%26dwvar_354367_size%3D0330)"|"https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/354367/19/sv01/fnd/EEA"|"Deze schoen met de oorspronkelijke tooling van de PUMA Suede-collectie vormt een klasse op zich. De strakke lijnen en het lage model maken deze sneakers eenvoudig toe te voegen aan elke streetwear-outfit, en het leren bovenwerk maakt de algehele look gepolijst. De rubberen zool biedt eersteklas tractie en grip. Rubberen zool voor grip Vetersluiting voor een optimale pasvorm PUMA vormstrook aan mediale en laterale zijden PUMA Archive No. 1-logo op de tong PUMA Basket-logo op de zijkant. Bezoek onze webpagina om meer to ontdekken over onze PUMA Basket Classic LFS Shoes zwart, maat 53.5."|"80.00"|"EUR"|"3085581423"|"68"|"Mode"|"Kleding en accessoires > Schoenen"|""|""|""|""|""|"out of stock"|""|"NL0.00 EUR"|"1 - 2 working days"|""|"53.5"|"PUMA"|""|""|""|""|"new"|"354367_19_53-5"|""|""|"PUMA "|"http://hst.tradedoubler.com/file/190137/new_logo/Puma-200x70.jpg"|"284496"|"https://eu.puma.com/nl/en/pd/basket-classic-lfs-mens-shoes/354367.html?dwvar_354367_color=19&dwvar_354367_size=0330"|"additional_image:https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/354367/19/sv01/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/354367/19/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/354367/19/bv/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/354367/19/sv02/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/354367/19/sv03;color:Zwart/Goud;from_price:80.00;gender:unisex;gtin:4055262219321;item_group_id:354367;material:leder/su�de/rubber;product_type:Men's > Shoes > Sneakers,Heren > Schoenen > Sneakers;shipping_condition:Between ?70 and ?100"
"Suede Kids' Trainers, Wit/Zwart, Maat 32.5 | PUMA"|"http://pdt.tradedoubler.com/click?a(2854292)p(284496)prod(3085583015)ttid(5)url(https%3A%2F%2Feu.puma.com%2Fnl%2Fen%2Fpd%2Fsuede-kids-trainers%2F360757.html%3Fdwvar_360757_color%3D01%26dwvar_360757_size%3D0190)"|"https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/01/sv01/fnd/EEA"|"De PUMA Suede is de laatste tientallen jaren voor liefhebbers een blijvend modebeeld in elke belangrijke street- en urban-beweging uiteenlopend van B Boys tot opkomende hiphopsterren. Deze Suede sneakers voor kinderen hebben het iconische suede bovenwerk met smalle tooling, terwijl de inlegzool zorgt dat de pasvorm te wijzigen is. Rubber op de zool helpt uitglijden en krassen op de vloer voorkomen. KENMERKEN + VOORDELEN Kinder-Fit�: PUMA's inlegzool voor kindermodellen Su�de bovenwerk Inlegzool in kindermaat voor optimaal comfort Zool met grip van rubber dat geen strepen achterlaat Vetersluiting voor een optimale pasvorm PUMA Formstripe op alle zijkanten PUMA Archive No. 1-label op de tong PUMA Suede-tekst op alle zijkanten PUMA's Kids' style: aanbevolen voor jonge kinderen tussen 4 en 8 jaar. Bezoek onze webpagina om meer to ontdekken over onze PUMA Suede Kids' Trainers wit, maat 32.5."|"55.00"|"EUR"|"3085583015"|"68"|"Mode"|"Kleding en accessoires > Schoenen"|""|""|""|""|""|"out of stock"|""|"NL4.95 EUR"|"1 - 2 working days"|""|"32.5"|"PUMA"|""|""|""|""|"new"|"360757_01_32-5"|""|""|"PUMA "|"http://hst.tradedoubler.com/file/190137/new_logo/Puma-200x70.jpg"|"284496"|"https://eu.puma.com/nl/en/pd/suede-kids-trainers/360757.html?dwvar_360757_color=01&dwvar_360757_size=0190"|"additional_image:https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/01/sv01/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/01/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/01/sv02/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/01/bv/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/01/sv03;color:Wit/Zwart;from_price:55.00;gender:unisex;gtin:4056206566617;item_group_id:360757;material:su�de/rubber;product_type:Kids > Shoes > Sneakers,Kinderen > Schoenen;shipping_condition:Between ?25 and ?70"
"Suede Kids' Trainers, Roze/Wit/Goud, Maat 28 | PUMA"|"http://pdt.tradedoubler.com/click?a(2854292)p(284496)prod(3085583079)ttid(5)url(https%3A%2F%2Feu.puma.com%2Fnl%2Fen%2Fpd%2Fsuede-kids-trainers%2F360757.html%3Fdwvar_360757_color%3D30%26dwvar_360757_size%3D0120)"|"https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/30/sv01/fnd/EEA"|"De PUMA Suede is de laatste tientallen jaren voor liefhebbers een blijvend modebeeld in elke belangrijke street- en urban-beweging uiteenlopend van B Boys tot opkomende hiphopsterren. Deze Suede sneakers voor kinderen hebben het iconische suede bovenwerk met smalle tooling, terwijl de inlegzool zorgt dat de pasvorm te wijzigen is. Rubber op de zool helpt uitglijden en krassen op de vloer voorkomen. KENMERKEN + VOORDELEN Kinder-Fit�: PUMA's inlegzool voor kindermodellen Su�de bovenwerk Inlegzool in kindermaat voor optimaal comfort Zool met grip van rubber dat geen strepen achterlaat Vetersluiting voor een optimale pasvorm PUMA Formstripe op alle zijkanten PUMA Archive No. 1-label op de tong PUMA Suede-tekst op alle zijkanten PUMA's Kids' style: aanbevolen voor jonge kinderen tussen 4 en 8 jaar. Bezoek onze webpagina om meer to ontdekken over onze PUMA Suede Kids' Trainers roze, maat 28."|"55.00"|"EUR"|"3085583079"|"68"|"Mode"|"Kleding en accessoires > Schoenen"|""|""|""|""|""|"in stock"|""|"NL4.95 EUR"|"1 - 2 working days"|""|"28"|"PUMA"|""|""|""|""|"new"|"360757_30_28"|""|""|"PUMA "|"http://hst.tradedoubler.com/file/190137/new_logo/Puma-200x70.jpg"|"284496"|"https://eu.puma.com/nl/en/pd/suede-kids-trainers/360757.html?dwvar_360757_color=30&dwvar_360757_size=0120"|"additional_image:https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/30/sv01/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/30/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/30/sv02/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/30/bv/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/360757/30/sv03;color:Roze/Wit/Goud;from_price:55.00;gender:unisex;gtin:4056206566815;item_group_id:360757;material:su�de/rubber;product_type:Kids > Shoes > Sneakers,Kinderen > Schoenen;shipping_condition:Between ?25 and ?70"
"Evolution RS-0 SOUND Trainers, Zwart, Maat 40 | PUMA"|"http://pdt.tradedoubler.com/click?a(2854292)p(284496)prod(3085593867)ttid(5)url(https%3A%2F%2Feu.puma.com%2Fnl%2Fen%2Fpd%2Fevolution-rs-0-sound-trainers%2F366890.html%3Fdwvar_366890_color%3D06%26dwvar_366890_size%3D0210)"|"https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/366890/06/sv01/fnd/EEA"|"Het model van het in 1987 ontwikkelde PUMA Running System, of ''RS'', is voortdurend ge�volueerd en begeeft zich nu op het terrein van casual. Voor 2018 geeft PUMA het RS een toekomst-retromakeover met een geheel nieuw model ge�nspireerd door het verleden en levend in de toekomst. Dit introductiemodel toont wat ''next'' voor PUMA betekent, terwijl de groene tint is overgenomen van PUMA's Archive Green in de toekomstige vorm. KENMERKEN + VOORDELEN Running System: PUMA's comfortabele dempingstechnologie eert de heruitvinding van een uniek moment of cultuurbeweging IMEVA: PUMA's tussenzool voor een lichtgewicht en comfortabel gevoel Ge�nspireerd door muziektechnologie uit de jaren 1980 Meerdere kleuropties Leren bovenwerk Vetersluiting Rubberen zool voor tractie Treklus op de hiel voor aan- en uittrekgemak PUMA-logo op tong. Bezoek onze webpagina om meer to ontdekken over onze PUMA Evolution RS-0 SOUND Trainers zwart, maat 40."|"70.00"|"EUR"|"3085593867"|"68"|"Mode"|"Kleding en accessoires > Schoenen"|""|""|""|""|""|"in stock"|""|"NL4.95 EUR"|"1 - 2 working days"|""|"40"|"PUMA"|""|""|""|""|"new"|"366890_06_40"|""|""|"PUMA "|"http://hst.tradedoubler.com/file/190137/new_logo/Puma-200x70.jpg"|"284496"|"https://eu.puma.com/nl/en/pd/evolution-rs-0-sound-trainers/366890.html?dwvar_366890_color=06&dwvar_366890_size=0210"|"additional_image:https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/366890/06/sv01/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/366890/06/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/366890/06/bv/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/366890/06/sv02/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/366890/06/sv03;color:Zwart;from_price:100.00;gender:unisex;gtin:4059506452543;item_group_id:366890;material:leder/rubber/EVA;product_type:Unisex > Shoes > Sneakers,Heren > Schoenen > Sneakers;shipping_condition:Between ?70 and ?100"
"IGNITE Flash evoKNIT Running Shoes, Zwart, Maat 39 | PUMA"|"http://pdt.tradedoubler.com/click?a(2854292)p(284496)prod(3097305211)ttid(5)url(https%3A%2F%2Feu.puma.com%2Fnl%2Fen%2Fpd%2Fignite-flash-evoknit-womens-running-shoes%2F190511.html%3Fdwvar_190511_size%3D0200%26dwvar_190511_color%3D17)"|"https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/190511/17/sv01/fnd/EEA"|"Val op met de veters en de strakke vormgeving van de technisch geavanceerde IGNITE Flash evoKNIT, perfect voor alledaags gebruik en moderne sporttraining. Met een modieus, aansluitend, gebreid bovenwerk, lichtgewicht tussenzool en toegevoegde hielsteun ga je in stijl strijden. KENMERKEN + VOORDELEN evoKNIT: PUMA's gebreide ontwerp en naadloze technologie voor licht, ademend, nauwsluitend comfort en de ultieme ergonomische pasvorm IGNITE: PUMA's schuimtussenzool plus merkhielkooi ondersteunt en stabiliseert door de hiel op het platform te houden Instapconstructie Bij de voetvorm passend bovenwerk van evoKNIT Rubberen zool voor grip en duurzaamheid Vetersluiting voor een aansluitende pasvorm IGNITE-schuim in de hiel zorgt voor teruggave van energie, stabiliteit en superieur comfort Gegoten rubberen hielclip voor ondersteuning en gestructureerde demping PUMA-treklus aan de tong Hiellipje voor makkelijk aan- en uittrekken PUMA op de hiel. Bezoek onze webpagina om meer to ontdekken over onze PUMA IGNITE Flash evoKNIT Running Shoes zwart, maat 39."|"56.00"|"EUR"|"3097305211"|"68"|"Mode"|"Kleding en accessoires > Schoenen"|""|""|""|""|""|"in stock"|""|"NL4.95 EUR"|"1 - 2 working days"|""|"39"|"PUMA"|""|""|""|""|"new"|"190511_17_39"|""|""|"PUMA "|"http://hst.tradedoubler.com/file/190137/new_logo/Puma-200x70.jpg"|"284496"|"https://eu.puma.com/nl/en/pd/ignite-flash-evoknit-womens-running-shoes/190511.html?dwvar_190511_size=0200&dwvar_190511_color=17"|"additional_image:https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/190511/17/sv01/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/190511/17/mod03/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/190511/17/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/190511/17/bv/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/190511/17/sv0;color:Zwart;from_price:80.00;gender:unisex;gtin:4060978907523;item_group_id:190511;material:rubber;product_type:Women's > Shoes > Running Shoes,Dames > Schoenen > Sneakers;shipping_condition:Between ?25 and ?70"
"PUMA Vikky v2 Ribbon Core Trainers, Zwart/Wit/Zilver, Maat 36"|"http://pdt.tradedoubler.com/click?a(2854292)p(284496)prod(3097499089)ttid(5)url(https%3A%2F%2Feu.puma.com%2Fnl%2Fen%2Fpd%2Fpuma-vikky-v2-ribbon-core-womens-trainers%2F369114.html%3Fdwvar_369114_color%3D01%26dwvar_369114_size%3D0150)"|"https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/369114/01/sv01/fnd/EEA"|"De populaire Vikky-collectie van PUMA heeft een nieuwe, chique look gekregen door de extra brede veters die op linten lijken. Maar de vertrouwde kenmerken waar de collectie om bekend staat zijn niet verdwenen: het klassieke, op een basketbalschoen ge�nspireerde model, het superieure comfort (onder andere dankzij de inlegzool van SoftFoam+) en de hoogwaardige constructie. KENMERKEN + VOORDELEN SoftFoam+: PUMA's comfortinlegzool voor direct en blijvend comfort dat elke stap die je zet verzacht. Synthetisch bovenwerk Rubberen zool voor grip Sluit met brede veters voor een goede pasvorm PUMA vormstrook aan mediale en laterale zijden PUMA No. 1-logo op de tong en zijkanten PUMA Cat-logo en woordmerk op de hiel. Bezoek onze webpagina om meer to ontdekken over onze PUMA Vikky v2 Ribbon Core Trainers zwart, maat 36."|"60.00"|"EUR"|"3097499089"|"68"|"Mode"|"Kleding en accessoires > Schoenen"|""|""|""|""|""|"in stock"|""|"NL4.95 EUR"|"1 - 2 working days"|""|"36"|"PUMA"|""|""|""|""|"new"|"369114_01_36"|""|""|"PUMA "|"http://hst.tradedoubler.com/file/190137/new_logo/Puma-200x70.jpg"|"284496"|"https://eu.puma.com/nl/en/pd/puma-vikky-v2-ribbon-core-womens-trainers/369114.html?dwvar_369114_color=01&dwvar_369114_size=0150"|"additional_image:https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/369114/01/sv01/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/369114/01/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/369114/01/bv/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/369114/01/sv02/fnd/EEA,https://images.puma.com/image/upload/f_auto%2Cq_auto%2Cw_2000%2Ch_2000/global/369114/01/sv03;color:Zwart/Wit/Zilver;from_price:60.00;gender:unisex;gtin:4060979013018;item_group_id:369114;material:rubber/zijde;product_type:Women's > Shoes > Sneakers,Dames > Schoenen > Sneakers;shipping_condition:Between ?25 and ?70"
